"voivodeship","sex","age","count","year","month"
"WOJ. DOLNOŚLĄSKIE","K",16,3,2019,8
"WOJ. DOLNOŚLĄSKIE","K",17,3,2019,8
"WOJ. DOLNOŚLĄSKIE","K",18,390,2019,8
"WOJ. DOLNOŚLĄSKIE","K",19,111,2019,8
"WOJ. DOLNOŚLĄSKIE","K",20,46,2019,8
"WOJ. DOLNOŚLĄSKIE","K",21,43,2019,8
"WOJ. DOLNOŚLĄSKIE","K",22,33,2019,8
"WOJ. DOLNOŚLĄSKIE","K",23,28,2019,8
"WOJ. DOLNOŚLĄSKIE","K",24,26,2019,8
"WOJ. DOLNOŚLĄSKIE","K",25,25,2019,8
"WOJ. DOLNOŚLĄSKIE","K",26,21,2019,8
"WOJ. DOLNOŚLĄSKIE","K",27,15,2019,8
"WOJ. DOLNOŚLĄSKIE","K",28,25,2019,8
"WOJ. DOLNOŚLĄSKIE","K",29,28,2019,8
"WOJ. DOLNOŚLĄSKIE","K",30,23,2019,8
"WOJ. DOLNOŚLĄSKIE","K",31,11,2019,8
"WOJ. DOLNOŚLĄSKIE","K",32,17,2019,8
"WOJ. DOLNOŚLĄSKIE","K",33,12,2019,8
"WOJ. DOLNOŚLĄSKIE","K",34,16,2019,8
"WOJ. DOLNOŚLĄSKIE","K",35,11,2019,8
"WOJ. DOLNOŚLĄSKIE","K",36,9,2019,8
"WOJ. DOLNOŚLĄSKIE","K",37,14,2019,8
"WOJ. DOLNOŚLĄSKIE","K",38,15,2019,8
"WOJ. DOLNOŚLĄSKIE","K",39,12,2019,8
"WOJ. DOLNOŚLĄSKIE","K",40,11,2019,8
"WOJ. DOLNOŚLĄSKIE","K",41,6,2019,8
"WOJ. DOLNOŚLĄSKIE","K",42,5,2019,8
"WOJ. DOLNOŚLĄSKIE","K",43,8,2019,8
"WOJ. DOLNOŚLĄSKIE","K",44,5,2019,8
"WOJ. DOLNOŚLĄSKIE","K",45,2,2019,8
"WOJ. DOLNOŚLĄSKIE","K",46,5,2019,8
"WOJ. DOLNOŚLĄSKIE","K",47,7,2019,8
"WOJ. DOLNOŚLĄSKIE","K",48,8,2019,8
"WOJ. DOLNOŚLĄSKIE","K",49,2,2019,8
"WOJ. DOLNOŚLĄSKIE","K",50,3,2019,8
"WOJ. DOLNOŚLĄSKIE","K",51,3,2019,8
"WOJ. DOLNOŚLĄSKIE","K",52,2,2019,8
"WOJ. DOLNOŚLĄSKIE","K",53,2,2019,8
"WOJ. DOLNOŚLĄSKIE","K",54,4,2019,8
"WOJ. DOLNOŚLĄSKIE","K",55,2,2019,8
"WOJ. DOLNOŚLĄSKIE","K",56,2,2019,8
"WOJ. DOLNOŚLĄSKIE","K",58,2,2019,8
"WOJ. DOLNOŚLĄSKIE","K",59,1,2019,8
"WOJ. DOLNOŚLĄSKIE","K",60,1,2019,8
"WOJ. DOLNOŚLĄSKIE","K",61,1,2019,8
"WOJ. DOLNOŚLĄSKIE","K",62,1,2019,8
"WOJ. DOLNOŚLĄSKIE","M",14,6,2019,8
"WOJ. DOLNOŚLĄSKIE","M",15,12,2019,8
"WOJ. DOLNOŚLĄSKIE","M",16,17,2019,8
"WOJ. DOLNOŚLĄSKIE","M",17,9,2019,8
"WOJ. DOLNOŚLĄSKIE","M",18,416,2019,8
"WOJ. DOLNOŚLĄSKIE","M",19,122,2019,8
"WOJ. DOLNOŚLĄSKIE","M",20,54,2019,8
"WOJ. DOLNOŚLĄSKIE","M",21,25,2019,8
"WOJ. DOLNOŚLĄSKIE","M",22,27,2019,8
"WOJ. DOLNOŚLĄSKIE","M",23,11,2019,8
"WOJ. DOLNOŚLĄSKIE","M",24,27,2019,8
"WOJ. DOLNOŚLĄSKIE","M",25,15,2019,8
"WOJ. DOLNOŚLĄSKIE","M",26,15,2019,8
"WOJ. DOLNOŚLĄSKIE","M",27,12,2019,8
"WOJ. DOLNOŚLĄSKIE","M",28,14,2019,8
"WOJ. DOLNOŚLĄSKIE","M",29,16,2019,8
"WOJ. DOLNOŚLĄSKIE","M",30,13,2019,8
"WOJ. DOLNOŚLĄSKIE","M",31,14,2019,8
"WOJ. DOLNOŚLĄSKIE","M",32,11,2019,8
"WOJ. DOLNOŚLĄSKIE","M",33,15,2019,8
"WOJ. DOLNOŚLĄSKIE","M",34,7,2019,8
"WOJ. DOLNOŚLĄSKIE","M",35,11,2019,8
"WOJ. DOLNOŚLĄSKIE","M",36,15,2019,8
"WOJ. DOLNOŚLĄSKIE","M",37,12,2019,8
"WOJ. DOLNOŚLĄSKIE","M",38,7,2019,8
"WOJ. DOLNOŚLĄSKIE","M",39,6,2019,8
"WOJ. DOLNOŚLĄSKIE","M",40,6,2019,8
"WOJ. DOLNOŚLĄSKIE","M",41,1,2019,8
"WOJ. DOLNOŚLĄSKIE","M",42,2,2019,8
"WOJ. DOLNOŚLĄSKIE","M",43,1,2019,8
"WOJ. DOLNOŚLĄSKIE","M",44,2,2019,8
"WOJ. DOLNOŚLĄSKIE","M",45,2,2019,8
"WOJ. DOLNOŚLĄSKIE","M",46,1,2019,8
"WOJ. DOLNOŚLĄSKIE","M",47,4,2019,8
"WOJ. DOLNOŚLĄSKIE","M",48,3,2019,8
"WOJ. DOLNOŚLĄSKIE","M",50,1,2019,8
"WOJ. DOLNOŚLĄSKIE","M",51,1,2019,8
"WOJ. DOLNOŚLĄSKIE","M",53,1,2019,8
"WOJ. DOLNOŚLĄSKIE","M",57,1,2019,8
"WOJ. DOLNOŚLĄSKIE","M",59,1,2019,8
"WOJ. DOLNOŚLĄSKIE","M",60,2,2019,8
"WOJ. DOLNOŚLĄSKIE","M",63,2,2019,8
"WOJ. DOLNOŚLĄSKIE","M",67,1,2019,8
"WOJ. DOLNOŚLĄSKIE","M",70,1,2019,8
"WOJ. KUJAWSKO-POMORSKIE","K",14,1,2019,8
"WOJ. KUJAWSKO-POMORSKIE","K",16,1,2019,8
"WOJ. KUJAWSKO-POMORSKIE","K",17,3,2019,8
"WOJ. KUJAWSKO-POMORSKIE","K",18,358,2019,8
"WOJ. KUJAWSKO-POMORSKIE","K",19,109,2019,8
"WOJ. KUJAWSKO-POMORSKIE","K",20,36,2019,8
"WOJ. KUJAWSKO-POMORSKIE","K",21,18,2019,8
"WOJ. KUJAWSKO-POMORSKIE","K",22,20,2019,8
"WOJ. KUJAWSKO-POMORSKIE","K",23,20,2019,8
"WOJ. KUJAWSKO-POMORSKIE","K",24,22,2019,8
"WOJ. KUJAWSKO-POMORSKIE","K",25,18,2019,8
"WOJ. KUJAWSKO-POMORSKIE","K",26,18,2019,8
"WOJ. KUJAWSKO-POMORSKIE","K",27,19,2019,8
"WOJ. KUJAWSKO-POMORSKIE","K",28,20,2019,8
"WOJ. KUJAWSKO-POMORSKIE","K",29,25,2019,8
"WOJ. KUJAWSKO-POMORSKIE","K",30,14,2019,8
"WOJ. KUJAWSKO-POMORSKIE","K",31,15,2019,8
"WOJ. KUJAWSKO-POMORSKIE","K",32,12,2019,8
"WOJ. KUJAWSKO-POMORSKIE","K",33,15,2019,8
"WOJ. KUJAWSKO-POMORSKIE","K",34,11,2019,8
"WOJ. KUJAWSKO-POMORSKIE","K",35,7,2019,8
"WOJ. KUJAWSKO-POMORSKIE","K",36,6,2019,8
"WOJ. KUJAWSKO-POMORSKIE","K",37,13,2019,8
"WOJ. KUJAWSKO-POMORSKIE","K",38,9,2019,8
"WOJ. KUJAWSKO-POMORSKIE","K",39,9,2019,8
"WOJ. KUJAWSKO-POMORSKIE","K",40,8,2019,8
"WOJ. KUJAWSKO-POMORSKIE","K",41,5,2019,8
"WOJ. KUJAWSKO-POMORSKIE","K",42,2,2019,8
"WOJ. KUJAWSKO-POMORSKIE","K",43,6,2019,8
"WOJ. KUJAWSKO-POMORSKIE","K",44,4,2019,8
"WOJ. KUJAWSKO-POMORSKIE","K",45,7,2019,8
"WOJ. KUJAWSKO-POMORSKIE","K",46,3,2019,8
"WOJ. KUJAWSKO-POMORSKIE","K",47,7,2019,8
"WOJ. KUJAWSKO-POMORSKIE","K",49,3,2019,8
"WOJ. KUJAWSKO-POMORSKIE","K",50,4,2019,8
"WOJ. KUJAWSKO-POMORSKIE","K",51,2,2019,8
"WOJ. KUJAWSKO-POMORSKIE","K",52,5,2019,8
"WOJ. KUJAWSKO-POMORSKIE","K",53,1,2019,8
"WOJ. KUJAWSKO-POMORSKIE","K",54,1,2019,8
"WOJ. KUJAWSKO-POMORSKIE","K",55,1,2019,8
"WOJ. KUJAWSKO-POMORSKIE","K",56,4,2019,8
"WOJ. KUJAWSKO-POMORSKIE","K",57,1,2019,8
"WOJ. KUJAWSKO-POMORSKIE","K",61,1,2019,8
"WOJ. KUJAWSKO-POMORSKIE","K",63,1,2019,8
"WOJ. KUJAWSKO-POMORSKIE","K",69,1,2019,8
"WOJ. KUJAWSKO-POMORSKIE","M",14,15,2019,8
"WOJ. KUJAWSKO-POMORSKIE","M",15,17,2019,8
"WOJ. KUJAWSKO-POMORSKIE","M",16,31,2019,8
"WOJ. KUJAWSKO-POMORSKIE","M",17,22,2019,8
"WOJ. KUJAWSKO-POMORSKIE","M",18,367,2019,8
"WOJ. KUJAWSKO-POMORSKIE","M",19,103,2019,8
"WOJ. KUJAWSKO-POMORSKIE","M",20,23,2019,8
"WOJ. KUJAWSKO-POMORSKIE","M",21,22,2019,8
"WOJ. KUJAWSKO-POMORSKIE","M",22,16,2019,8
"WOJ. KUJAWSKO-POMORSKIE","M",23,14,2019,8
"WOJ. KUJAWSKO-POMORSKIE","M",24,16,2019,8
"WOJ. KUJAWSKO-POMORSKIE","M",25,19,2019,8
"WOJ. KUJAWSKO-POMORSKIE","M",26,12,2019,8
"WOJ. KUJAWSKO-POMORSKIE","M",27,9,2019,8
"WOJ. KUJAWSKO-POMORSKIE","M",28,14,2019,8
"WOJ. KUJAWSKO-POMORSKIE","M",29,6,2019,8
"WOJ. KUJAWSKO-POMORSKIE","M",30,9,2019,8
"WOJ. KUJAWSKO-POMORSKIE","M",31,8,2019,8
"WOJ. KUJAWSKO-POMORSKIE","M",32,14,2019,8
"WOJ. KUJAWSKO-POMORSKIE","M",33,5,2019,8
"WOJ. KUJAWSKO-POMORSKIE","M",34,6,2019,8
"WOJ. KUJAWSKO-POMORSKIE","M",35,9,2019,8
"WOJ. KUJAWSKO-POMORSKIE","M",36,3,2019,8
"WOJ. KUJAWSKO-POMORSKIE","M",37,4,2019,8
"WOJ. KUJAWSKO-POMORSKIE","M",38,6,2019,8
"WOJ. KUJAWSKO-POMORSKIE","M",39,2,2019,8
"WOJ. KUJAWSKO-POMORSKIE","M",40,5,2019,8
"WOJ. KUJAWSKO-POMORSKIE","M",41,4,2019,8
"WOJ. KUJAWSKO-POMORSKIE","M",42,6,2019,8
"WOJ. KUJAWSKO-POMORSKIE","M",43,3,2019,8
"WOJ. KUJAWSKO-POMORSKIE","M",44,2,2019,8
"WOJ. KUJAWSKO-POMORSKIE","M",45,1,2019,8
"WOJ. KUJAWSKO-POMORSKIE","M",47,2,2019,8
"WOJ. KUJAWSKO-POMORSKIE","M",48,1,2019,8
"WOJ. KUJAWSKO-POMORSKIE","M",51,2,2019,8
"WOJ. KUJAWSKO-POMORSKIE","M",52,1,2019,8
"WOJ. KUJAWSKO-POMORSKIE","M",54,2,2019,8
"WOJ. KUJAWSKO-POMORSKIE","M",59,1,2019,8
"WOJ. KUJAWSKO-POMORSKIE","M",65,2,2019,8
"WOJ. KUJAWSKO-POMORSKIE","M",67,1,2019,8
"WOJ. LUBELSKIE","K",14,3,2019,8
"WOJ. LUBELSKIE","K",15,2,2019,8
"WOJ. LUBELSKIE","K",16,10,2019,8
"WOJ. LUBELSKIE","K",17,2,2019,8
"WOJ. LUBELSKIE","K",18,502,2019,8
"WOJ. LUBELSKIE","K",19,138,2019,8
"WOJ. LUBELSKIE","K",20,30,2019,8
"WOJ. LUBELSKIE","K",21,13,2019,8
"WOJ. LUBELSKIE","K",22,16,2019,8
"WOJ. LUBELSKIE","K",23,28,2019,8
"WOJ. LUBELSKIE","K",24,26,2019,8
"WOJ. LUBELSKIE","K",25,18,2019,8
"WOJ. LUBELSKIE","K",26,12,2019,8
"WOJ. LUBELSKIE","K",27,13,2019,8
"WOJ. LUBELSKIE","K",28,13,2019,8
"WOJ. LUBELSKIE","K",29,6,2019,8
"WOJ. LUBELSKIE","K",30,9,2019,8
"WOJ. LUBELSKIE","K",31,16,2019,8
"WOJ. LUBELSKIE","K",32,13,2019,8
"WOJ. LUBELSKIE","K",33,6,2019,8
"WOJ. LUBELSKIE","K",34,14,2019,8
"WOJ. LUBELSKIE","K",35,16,2019,8
"WOJ. LUBELSKIE","K",36,11,2019,8
"WOJ. LUBELSKIE","K",37,10,2019,8
"WOJ. LUBELSKIE","K",38,6,2019,8
"WOJ. LUBELSKIE","K",39,6,2019,8
"WOJ. LUBELSKIE","K",40,5,2019,8
"WOJ. LUBELSKIE","K",41,10,2019,8
"WOJ. LUBELSKIE","K",42,5,2019,8
"WOJ. LUBELSKIE","K",43,3,2019,8
"WOJ. LUBELSKIE","K",44,5,2019,8
"WOJ. LUBELSKIE","K",45,2,2019,8
"WOJ. LUBELSKIE","K",46,4,2019,8
"WOJ. LUBELSKIE","K",47,1,2019,8
"WOJ. LUBELSKIE","K",48,5,2019,8
"WOJ. LUBELSKIE","K",49,1,2019,8
"WOJ. LUBELSKIE","K",50,1,2019,8
"WOJ. LUBELSKIE","K",52,6,2019,8
"WOJ. LUBELSKIE","K",53,2,2019,8
"WOJ. LUBELSKIE","K",54,2,2019,8
"WOJ. LUBELSKIE","K",55,2,2019,8
"WOJ. LUBELSKIE","K",56,1,2019,8
"WOJ. LUBELSKIE","K",57,6,2019,8
"WOJ. LUBELSKIE","K",58,1,2019,8
"WOJ. LUBELSKIE","K",60,1,2019,8
"WOJ. LUBELSKIE","K",64,1,2019,8
"WOJ. LUBELSKIE","K",67,1,2019,8
"WOJ. LUBELSKIE","M",14,28,2019,8
"WOJ. LUBELSKIE","M",15,22,2019,8
"WOJ. LUBELSKIE","M",16,44,2019,8
"WOJ. LUBELSKIE","M",17,21,2019,8
"WOJ. LUBELSKIE","M",18,512,2019,8
"WOJ. LUBELSKIE","M",19,93,2019,8
"WOJ. LUBELSKIE","M",20,40,2019,8
"WOJ. LUBELSKIE","M",21,24,2019,8
"WOJ. LUBELSKIE","M",22,17,2019,8
"WOJ. LUBELSKIE","M",23,17,2019,8
"WOJ. LUBELSKIE","M",24,9,2019,8
"WOJ. LUBELSKIE","M",25,8,2019,8
"WOJ. LUBELSKIE","M",26,13,2019,8
"WOJ. LUBELSKIE","M",27,6,2019,8
"WOJ. LUBELSKIE","M",28,12,2019,8
"WOJ. LUBELSKIE","M",29,8,2019,8
"WOJ. LUBELSKIE","M",30,6,2019,8
"WOJ. LUBELSKIE","M",31,13,2019,8
"WOJ. LUBELSKIE","M",32,9,2019,8
"WOJ. LUBELSKIE","M",33,6,2019,8
"WOJ. LUBELSKIE","M",34,6,2019,8
"WOJ. LUBELSKIE","M",35,5,2019,8
"WOJ. LUBELSKIE","M",36,2,2019,8
"WOJ. LUBELSKIE","M",37,3,2019,8
"WOJ. LUBELSKIE","M",38,5,2019,8
"WOJ. LUBELSKIE","M",39,4,2019,8
"WOJ. LUBELSKIE","M",40,1,2019,8
"WOJ. LUBELSKIE","M",41,1,2019,8
"WOJ. LUBELSKIE","M",42,1,2019,8
"WOJ. LUBELSKIE","M",43,4,2019,8
"WOJ. LUBELSKIE","M",44,1,2019,8
"WOJ. LUBELSKIE","M",46,1,2019,8
